id,customerid,fromaccount,toaccount,amount,balance,transactiontype,whentime
101,1,12345,891272,6577.33333333,6577.33333333,2,2013-12-31 20:29:51
102,2,12345,567538,9381.0,9381.0,2,2013-12-31 20:29:51
103,3,12345,500724,4996.33333333,4996.33333333,2,2013-12-31 20:29:51
104,4,12345,914466,22797.6666667,22797.6666667,2,2013-12-31 20:29:51
105,5,12345,783774,14974.3333333,14974.3333333,2,2013-12-31 20:29:51
106,6,12345,663702,19314.3333333,19314.3333333,2,2013-12-31 20:29:51
107,7,12345,636714,18064.6666667,18064.6666667,2,2013-12-31 20:29:51
108,8,12345,878538,3737.33333333,3737.33333333,2,2013-12-31 20:29:51
109,9,12345,450148,7666.33333333,7666.33333333,2,2013-12-31 20:29:51
110,10,12345,839923,15211.6666667,15211.6666667,2,2013-12-31 20:29:51
111,11,12345,891150,23410.6666667,23410.6666667,2,2013-12-31 20:29:51
112,12,12345,620127,19674.0,19674.0,2,2013-12-31 20:29:51
113,13,12345,212335,16678.0,16678.0,2,2013-12-31 20:29:51
114,14,12345,893318,9891.66666667,9891.66666667,2,2013-12-31 20:29:51
115,15,12345,524070,21613.3333333,21613.3333333,2,2013-12-31 20:29:51
116,16,12345,763673,8881.66666667,8881.66666667,2,2013-12-31 20:29:51
117,17,12345,115528,14614.6666667,14614.6666667,2,2013-12-31 20:29:51
118,18,12345,220113,17716.0,17716.0,2,2013-12-31 20:29:51
119,19,12345,478877,7216.33333333,7216.33333333,2,2013-12-31 20:29:51
120,20,12345,554762,30335.6666667,30335.6666667,2,2013-12-31 20:29:51
121,21,12345,871572,15124.3333333,15124.3333333,2,2013-12-31 20:29:51
122,22,12345,672289,23999.3333333,23999.3333333,2,2013-12-31 20:29:51
123,23,12345,768282,21812.6666667,21812.6666667,2,2013-12-31 20:29:51
124,24,12345,393938,10127.0,10127.0,2,2013-12-31 20:29:51
125,25,12345,345727,13468.6666667,13468.6666667,2,2013-12-31 20:29:51
126,26,12345,954873,24961.3333333,24961.3333333,2,2013-12-31 20:29:51
127,27,12345,932991,30153.6666667,30153.6666667,2,2013-12-31 20:29:51
128,28,12345,184756,16971.0,16971.0,2,2013-12-31 20:29:51
129,29,12345,967879,8067.0,8067.0,2,2013-12-31 20:29:51
130,30,12345,393851,16302.3333333,16302.3333333,2,2013-12-31 20:29:51
131,31,12345,470262,24488.3333333,24488.3333333,2,2013-12-31 20:29:51
132,32,12345,305156,28168.0,28168.0,2,2013-12-31 20:29:51
133,33,12345,589197,11707.6666667,11707.6666667,2,2013-12-31 20:29:51
134,34,12345,371491,32591.3333333,32591.3333333,2,2013-12-31 20:29:51
135,35,12345,923660,7820.66666667,7820.66666667,2,2013-12-31 20:29:51
136,36,12345,125917,27069.0,27069.0,2,2013-12-31 20:29:51
137,37,12345,308183,9019.66666667,9019.66666667,2,2013-12-31 20:29:51
138,38,12345,918862,28016.0,28016.0,2,2013-12-31 20:29:51
139,39,12345,880727,16167.3333333,16167.3333333,2,2013-12-31 20:29:51
140,40,12345,712159,30531.0,30531.0,2,2013-12-31 20:29:51
141,41,12345,918519,8413.66666667,8413.66666667,2,2013-12-31 20:29:51
142,42,12345,150467,8381.33333333,8381.33333333,2,2013-12-31 20:29:51
143,43,12345,936179,7829.33333333,7829.33333333,2,2013-12-31 20:29:51
144,44,12345,699610,18310.0,18310.0,2,2013-12-31 20:29:51
145,45,12345,236879,24704.0,24704.0,2,2013-12-31 20:29:51
146,46,12345,237738,21686.0,21686.0,2,2013-12-31 20:29:51
147,47,12345,518505,32532.3333333,32532.3333333,2,2013-12-31 20:29:51
148,48,12345,166202,21342.3333333,21342.3333333,2,2013-12-31 20:29:51
149,49,12345,697202,4051.66666667,4051.66666667,2,2013-12-31 20:29:51
150,50,12345,873515,10117.3333333,10117.3333333,2,2013-12-31 20:29:51
151,51,12345,491731,27849.6666667,27849.6666667,2,2013-12-31 20:29:51
152,52,12345,306189,9105.0,9105.0,2,2013-12-31 20:29:51
153,53,12345,943992,29896.0,29896.0,2,2013-12-31 20:29:51
154,54,12345,163625,14151.6666667,14151.6666667,2,2013-12-31 20:29:51
155,55,12345,826972,30520.6666667,30520.6666667,2,2013-12-31 20:29:51
156,56,12345,941307,20243.3333333,20243.3333333,2,2013-12-31 20:29:51
157,57,12345,467280,26505.6666667,26505.6666667,2,2013-12-31 20:29:51
158,58,12345,624937,18041.6666667,18041.6666667,2,2013-12-31 20:29:51
159,59,12345,518480,32565.6666667,32565.6666667,2,2013-12-31 20:29:51
160,60,12345,936429,14354.0,14354.0,2,2013-12-31 20:29:51
161,61,12345,828379,22540.3333333,22540.3333333,2,2013-12-31 20:29:51
162,62,12345,203790,21684.6666667,21684.6666667,2,2013-12-31 20:29:51
163,63,12345,165101,22297.6666667,22297.6666667,2,2013-12-31 20:29:51
164,64,12345,420727,26298.6666667,26298.6666667,2,2013-12-31 20:29:51
165,65,12345,745558,18038.0,18038.0,2,2013-12-31 20:29:51
166,66,12345,781588,27139.0,27139.0,2,2013-12-31 20:29:51
167,67,12345,531934,27731.3333333,27731.3333333,2,2013-12-31 20:29:51
168,68,12345,471852,28387.0,28387.0,2,2013-12-31 20:29:51
169,69,12345,413103,23860.6666667,23860.6666667,2,2013-12-31 20:29:51
170,70,12345,268381,4751.66666667,4751.66666667,2,2013-12-31 20:29:51
171,71,12345,921658,11558.3333333,11558.3333333,2,2013-12-31 20:29:51
172,72,12345,988304,25556.6666667,25556.6666667,2,2013-12-31 20:29:51
173,73,12345,587734,31061.6666667,31061.6666667,2,2013-12-31 20:29:51
174,74,12345,751890,23673.3333333,23673.3333333,2,2013-12-31 20:29:51
175,75,12345,969725,25838.3333333,25838.3333333,2,2013-12-31 20:29:51
176,76,12345,708666,11611.0,11611.0,2,2013-12-31 20:29:51
177,77,12345,764406,27461.3333333,27461.3333333,2,2013-12-31 20:29:51
178,78,12345,874008,28421.6666667,28421.6666667,2,2013-12-31 20:29:51
179,79,12345,475510,12053.0,12053.0,2,2013-12-31 20:29:51
180,80,12345,960256,17186.3333333,17186.3333333,2,2013-12-31 20:29:51
181,81,12345,962257,9831.33333333,9831.33333333,2,2013-12-31 20:29:51
182,82,12345,940970,12734.6666667,12734.6666667,2,2013-12-31 20:29:51
183,83,12345,943072,28641.3333333,28641.3333333,2,2013-12-31 20:29:51
184,84,12345,749337,12486.6666667,12486.6666667,2,2013-12-31 20:29:51
185,85,12345,486555,31678.0,31678.0,2,2013-12-31 20:29:51
