ID,FIRSTNAME,MIDDLENAME,LASTNAME,ALIAS,DATEOFBIRTH,MARITALSTATUS,PRIMARYOCCUPATION,twitterId
1,Maria,Matthew,Brown,Maria,2017-01-30 17:01:59,2,2,synemariabrown1
2,Carl,Beverly,Duncan,Carl,2017-01-17 00:11:31,2,2,
3,Bruce,Kimberly,Harris,Bruce,2017-01-17 00:11:31,2,2,
4,Michelle,Patrick,Moore,Michelle,2017-01-17 00:11:31,3,2,
5,Jason,Russell,Jacobs,Jason,2017-01-17 00:11:31,3,2,
6,Judy,Heather,Andrews,Judy,2017-01-17 00:11:31,3,2,
7,Tammy,Denise,Richards,Tammy,2017-01-17 00:11:31,2,2,
8,Karen,Amy,Dean,Karen,2017-01-17 00:11:31,3,2,
9,Terry,Pamela,Bennett,Terry,2017-01-17 00:11:31,3,2,
10,Gerald,Earl,Willis,Gerald,2017-01-17 00:11:31,2,2,
11,Alice,Rose,Lopez,Alice,2017-01-17 00:11:31,3,2,
12,Sandra,Philip,Marshall,Sandra,2017-01-17 00:11:31,3,2,
13,Howard,Timothy,Ortiz,Howard,2017-01-17 00:11:31,2,2,
14,Cheryl,Marie,Frazier,Cheryl,2017-01-17 00:11:31,2,2,
15,Annie,Amy,Thomas,Annie,2017-01-17 00:11:31,3,2,
16,Marilyn,Nicole,Sullivan,Marilyn,2017-01-17 00:11:31,3,2,
17,Susan,Tina,Scott,Susan,2017-01-17 00:11:31,2,2,
18,Michelle,Henry,Flores,Michelle,2017-01-17 00:11:31,3,2,
19,Johnny,Kelly,Mccoy,Johnny,2017-01-17 00:11:31,2,2,
20,Nicholas,Matthew,Banks,Nicholas,2017-02-03 13:20:49,3,2,SyneNicholas
21,Marie,Joe,Grant,Marie,2017-01-17 00:11:31,2,2,
22,Rachel,Ann,Johnston,Rachel,2017-01-17 00:11:31,2,2,
23,John,Andrew,Garcia,John,2017-01-17 00:11:31,3,2,
24,Beverly,Mildred,Carpenter,Beverly,2017-01-17 00:11:31,3,2,
25,Nicholas,Shirley,Wood,Nicholas,2017-01-17 00:11:31,3,2,
26,David,Patricia,Cooper,David,2017-01-17 00:11:31,2,2,
27,Katherine,Jerry,Hayes,Katherine,2017-01-17 00:11:31,2,2,
