customerid,cardnumber,cvvno,authfactor,cardtype,currencyid,issuemonth,issueyear,validuptomonth,validuptoyear,creditlimit,cashlimit,cardstatusid
1,5212345678900001,303,MA955859,2,1,11,2014,11,2020,13154.0,1315.4,1
2,5212345678900002,867,VI367027,1,1,5,2014,5,2017,18762.0,1876.2,1
3,5212345678900003,194,VI555521,1,1,5,2014,5,2019,9992.0,999.2,1
4,5212345678900004,649,VI295060,1,1,6,2014,6,2020,45594.0,4559.4,1
5,5212345678900005,332,AM881931,3,1,9,2014,9,2017,29948.0,2994.8,1
6,5212345678900006,171,VI793225,1,1,6,2014,6,2019,38628.0,3862.8,1
7,5212345678900007,154,MA292362,2,1,2,2014,2,2018,36128.0,3612.8,1
8,5212345678900008,733,VI674336,1,1,9,2014,9,2020,7474.0,747.4,1
9,5212345678900009,240,MA895574,2,1,4,2014,4,2019,15332.0,1533.2,1
10,5212345678900010,363,VI125324,1,1,1,2014,1,2018,30422.0,3042.2,1
11,5212345678900011,780,MA187697,2,1,5,2014,5,2018,46820.0,4682.0,1
12,5212345678900012,230,MA491298,2,1,2,2014,2,2017,39348.0,3934.8,1
13,5212345678900013,521,VI460885,1,1,12,2014,12,2020,33356.0,3335.6,1
14,5212345678900014,841,VI848924,1,1,3,2014,3,2020,19782.0,1978.2,1
15,5212345678900015,116,MA704251,2,1,7,2014,7,2018,43226.0,4322.6,1
16,5212345678900016,199,VI245140,1,1,1,2014,1,2019,17762.0,1776.2,1
17,5212345678900017,825,VI378319,1,1,6,2014,6,2020,29228.0,2922.8,1
18,5212345678900018,355,MA388032,2,1,2,2014,2,2017,35432.0,3543.2,1
19,5212345678900019,657,VI889113,1,1,9,2014,9,2019,14432.0,1443.2,1
20,5212345678900020,250,MA270768,2,1,10,2014,10,2020,60670.0,6067.0,1
21,5212345678900021,360,VI543332,1,1,1,2014,1,2019,30248.0,3024.8,1
22,5212345678900022,772,AM700813,3,1,12,2014,12,2019,47998.0,4799.8,1
