id,loannumber,wiretypeid,fromBank,fromaccountid,amount,whentime
1,1,1,SBINUS39XXX,891272,1196.0,2014-02-10 20:34:48
2,2,1,SBINUS39XXX,567538,1705.0,2014-02-10 20:34:48
3,3,1,SBINUS39XXX,500724,908.0,2014-02-10 20:34:48
4,4,1,SBINUS39XXX,914466,4144.0,2014-02-10 20:34:48
5,5,1,SBINUS39XXX,783774,2722.0,2014-02-10 20:34:48
6,6,1,SBINUS39XXX,663702,3511.0,2014-02-10 20:34:48
7,7,1,SBINUS39XXX,636714,3284.0,2014-02-10 20:34:48
8,8,1,SBINUS39XXX,878538,679.0,2014-02-10 20:34:48
9,9,1,SBINUS39XXX,450148,1394.0,2014-02-10 20:34:48
10,10,1,SBINUS39XXX,839923,2765.0,2014-02-10 20:34:48
11,11,1,SBINUS39XXX,891150,4256.0,2014-02-10 20:34:48
12,12,1,SBINUS39XXX,620127,3577.0,2014-02-10 20:34:48
13,13,1,SBINUS39XXX,212335,3032.0,2014-02-10 20:34:48
14,14,1,SBINUS39XXX,893318,1798.0,2014-02-10 20:34:48
15,15,1,SBINUS39XXX,524070,3929.0,2014-02-10 20:34:48
16,16,1,SBINUS39XXX,763673,1615.0,2014-02-10 20:34:48
17,17,1,SBINUS39XXX,115528,2657.0,2014-02-10 20:34:48
18,18,1,SBINUS39XXX,220113,3221.0,2014-02-10 20:34:48
19,19,1,SBINUS39XXX,478877,1312.0,2014-02-10 20:34:48
20,20,1,SBINUS39XXX,554762,5515.0,2014-02-10 20:34:48
21,21,1,SBINUS39XXX,871572,2750.0,2014-02-10 20:34:48
22,22,1,SBINUS39XXX,672289,4363.0,2014-02-10 20:34:48
23,23,1,SBINUS39XXX,768282,3965.0,2014-02-10 20:34:48
24,24,1,SBINUS39XXX,393938,1841.0,2014-02-10 20:34:48
25,25,1,SBINUS39XXX,345727,2449.0,2014-02-10 20:34:48
26,26,1,SBINUS39XXX,954873,4538.0,2014-02-10 20:34:48
27,27,1,SBINUS39XXX,932991,5482.0,2014-02-10 20:34:48
28,28,1,SBINUS39XXX,184756,3085.0,2014-02-10 20:34:48
29,29,1,SBINUS39XXX,967879,1467.0,2014-02-10 20:34:48
30,30,1,SBINUS39XXX,393851,2964.0,2014-02-10 20:34:48
31,31,1,SBINUS39XXX,470262,4452.0,2014-02-10 20:34:48
32,32,1,SBINUS39XXX,305156,5121.0,2014-02-10 20:34:48
33,33,1,SBINUS39XXX,589197,2128.0,2014-02-10 20:34:48
34,34,1,SBINUS39XXX,371491,5925.0,2014-02-10 20:34:48
35,35,1,SBINUS39XXX,923660,1422.0,2014-02-10 20:34:48
36,36,1,SBINUS39XXX,125917,4921.0,2014-02-10 20:34:48
37,37,1,SBINUS39XXX,308183,1640.0,2014-02-10 20:34:48
38,38,1,SBINUS39XXX,918862,5093.0,2014-02-10 20:34:48
39,39,1,SBINUS39XXX,880727,2939.0,2014-02-10 20:34:48
40,40,1,SBINUS39XXX,712159,5550.0,2014-02-10 20:34:48
41,41,1,SBINUS39XXX,918519,1530.0,2014-02-10 20:34:48
42,42,1,SBINUS39XXX,150467,1524.0,2014-02-10 20:34:48
43,43,1,SBINUS39XXX,936179,1423.0,2014-02-10 20:34:48
44,44,1,SBINUS39XXX,699610,3329.0,2014-02-10 20:34:48
45,45,1,SBINUS39XXX,236879,4491.0,2014-02-10 20:34:48
46,46,1,SBINUS39XXX,237738,3942.0,2014-02-10 20:34:48
47,47,1,SBINUS39XXX,518505,5914.0,2014-02-10 20:34:48
48,48,1,SBINUS39XXX,166202,3880.0,2014-02-10 20:34:48
49,49,1,SBINUS39XXX,697202,737.0,2014-02-10 20:34:48
50,50,1,SBINUS39XXX,873515,1839.0,2014-02-10 20:34:48
