id,cardnumber,billerid,startdate,frequencyid,amount
1,5212345678900001,3,2010-01-02 10:30:00,2,131.54
2,5212345678900001,4,2010-01-03 10:30:00,2,657.7
3,5212345678900001,2,2010-10-04 09:30:00,7,3946.2
4,5212345678900002,3,2010-01-02 10:30:00,2,187.62
5,5212345678900002,4,2010-01-03 10:30:00,2,938.1
6,5212345678900002,2,2010-10-04 09:30:00,7,5628.6
7,5212345678900003,3,2010-01-02 10:30:00,2,99.92
8,5212345678900003,4,2010-01-03 10:30:00,2,499.6
9,5212345678900003,2,2010-10-04 09:30:00,7,2997.6
10,5212345678900004,3,2010-01-02 10:30:00,2,455.94
11,5212345678900004,4,2010-01-03 10:30:00,2,2279.7
12,5212345678900004,2,2010-10-04 09:30:00,7,13678.2
13,5212345678900005,3,2010-01-02 10:30:00,2,299.48
14,5212345678900005,4,2010-01-03 10:30:00,2,1497.4
15,5212345678900005,2,2010-10-04 09:30:00,7,8984.4
16,5212345678900006,3,2010-01-02 10:30:00,2,386.28
17,5212345678900006,4,2010-01-03 10:30:00,2,1931.4
18,5212345678900006,2,2010-10-04 09:30:00,7,11588.4
19,5212345678900007,3,2010-01-02 10:30:00,2,361.28
20,5212345678900007,4,2010-01-03 10:30:00,2,1806.4
21,5212345678900007,2,2010-10-04 09:30:00,7,10838.4
22,5212345678900008,3,2010-01-02 10:30:00,2,74.74
23,5212345678900008,4,2010-01-03 10:30:00,2,373.7
24,5212345678900008,2,2010-10-04 09:30:00,7,2242.2
25,5212345678900009,3,2010-01-02 10:30:00,2,153.32
26,5212345678900009,4,2010-01-03 10:30:00,2,766.6
27,5212345678900009,2,2010-10-04 09:30:00,7,4599.6
28,5212345678900010,3,2010-01-02 10:30:00,2,304.22
29,5212345678900010,4,2010-01-03 10:30:00,2,1521.1
30,5212345678900010,2,2010-10-04 09:30:00,7,9126.6
31,5212345678900011,3,2010-01-02 10:30:00,2,468.2
32,5212345678900011,4,2010-01-03 10:30:00,2,2341.0
33,5212345678900011,2,2010-10-04 09:30:00,7,14046.0
34,5212345678900012,3,2010-01-02 10:30:00,2,393.48
35,5212345678900012,4,2010-01-03 10:30:00,2,1967.4
36,5212345678900012,2,2010-10-04 09:30:00,7,11804.4
37,5212345678900013,3,2010-01-02 10:30:00,2,333.56
38,5212345678900013,4,2010-01-03 10:30:00,2,1667.8
39,5212345678900013,2,2010-10-04 09:30:00,7,10006.8
40,5212345678900014,3,2010-01-02 10:30:00,2,197.82
41,5212345678900014,4,2010-01-03 10:30:00,2,989.1
42,5212345678900014,2,2010-10-04 09:30:00,7,5934.6
43,5212345678900015,3,2010-01-02 10:30:00,2,432.26
44,5212345678900015,4,2010-01-03 10:30:00,2,2161.3
45,5212345678900015,2,2010-10-04 09:30:00,7,12967.8
46,5212345678900016,3,2010-01-02 10:30:00,2,177.62
47,5212345678900016,4,2010-01-03 10:30:00,2,888.1
48,5212345678900016,2,2010-10-04 09:30:00,7,5328.6
49,5212345678900017,3,2010-01-02 10:30:00,2,292.28
50,5212345678900017,4,2010-01-03 10:30:00,2,1461.4
51,5212345678900017,2,2010-10-04 09:30:00,7,8768.4
52,5212345678900018,3,2010-01-02 10:30:00,2,354.32
53,5212345678900018,4,2010-01-03 10:30:00,2,1771.6
54,5212345678900018,2,2010-10-04 09:30:00,7,10629.6
55,5212345678900019,3,2010-01-02 10:30:00,2,144.32
56,5212345678900019,4,2010-01-03 10:30:00,2,721.6
57,5212345678900019,2,2010-10-04 09:30:00,7,4329.6
58,5212345678900020,3,2010-01-02 10:30:00,2,606.7
59,5212345678900020,4,2010-01-03 10:30:00,2,3033.5
60,5212345678900020,2,2010-10-04 09:30:00,7,18201.0
61,5212345678900021,3,2010-01-02 10:30:00,2,302.48
62,5212345678900021,4,2010-01-03 10:30:00,2,1512.4
63,5212345678900021,2,2010-10-04 09:30:00,7,9074.4
64,5212345678900022,3,2010-01-02 10:30:00,2,479.98
65,5212345678900022,4,2010-01-03 10:30:00,2,2399.9
66,5212345678900022,2,2010-10-04 09:30:00,7,14399.4
67,5212345678900023,3,2010-01-02 10:30:00,2,436.24
68,5212345678900023,4,2010-01-03 10:30:00,2,2181.2
69,5212345678900023,2,2010-10-04 09:30:00,7,13087.2
70,5212345678900024,3,2010-01-02 10:30:00,2,202.54
71,5212345678900024,4,2010-01-03 10:30:00,2,1012.7
72,5212345678900024,2,2010-10-04 09:30:00,7,6076.2
73,5212345678900025,3,2010-01-02 10:30:00,2,269.36
74,5212345678900025,4,2010-01-03 10:30:00,2,1346.8
75,5212345678900025,2,2010-10-04 09:30:00,7,8080.8
76,5212345678900026,3,2010-01-02 10:30:00,2,499.22
77,5212345678900026,4,2010-01-03 10:30:00,2,2496.1
78,5212345678900026,2,2010-10-04 09:30:00,7,14976.6
79,5212345678900027,3,2010-01-02 10:30:00,2,603.06
80,5212345678900027,4,2010-01-03 10:30:00,2,3015.3
81,5212345678900027,2,2010-10-04 09:30:00,7,18091.8
82,5212345678900028,3,2010-01-02 10:30:00,2,339.42
83,5212345678900028,4,2010-01-03 10:30:00,2,1697.1
84,5212345678900028,2,2010-10-04 09:30:00,7,10182.6
85,5212345678900029,3,2010-01-02 10:30:00,2,161.34
86,5212345678900029,4,2010-01-03 10:30:00,2,806.7
87,5212345678900029,2,2010-10-04 09:30:00,7,4840.2
88,5212345678900030,3,2010-01-02 10:30:00,2,326.04
89,5212345678900030,4,2010-01-03 10:30:00,2,1630.2
90,5212345678900030,2,2010-10-04 09:30:00,7,9781.2
91,5212345678900031,3,2010-01-02 10:30:00,2,489.76
92,5212345678900031,4,2010-01-03 10:30:00,2,2448.8
93,5212345678900031,2,2010-10-04 09:30:00,7,14692.8
94,5212345678900032,3,2010-01-02 10:30:00,2,563.36
95,5212345678900032,4,2010-01-03 10:30:00,2,2816.8
96,5212345678900032,2,2010-10-04 09:30:00,7,16900.8
97,5212345678900033,3,2010-01-02 10:30:00,2,234.14
98,5212345678900033,4,2010-01-03 10:30:00,2,1170.7
