TRANSACTIONID,FROMCUSTOMERID,FROMACCOUNTNO,TOCUSTOMERID,TOACCOUNTNO,TRANSACTIONSOURCE,DEBITCREDITINDICATOR,AMOUNT,TIMEOFTRANSACTION,DATE,STATUS,CHEQUEID,WIREID,ONLINEID,BRANCHCODE,DESCRIPTION
6489879,184,20656,538,17015,Wire,debit,458,03:21:46,11-Jul-2016,Cancelled,None,8088460,None,USA-AZ85381,Transaction is cancelled.
2999432,184,20656,538,17015,Wire,debit,407,02:13:10,11-Jul-2016,Cancelled,None,434791,None,USA-AZ85381,Transaction is cancelled.
550471,184,20656,538,17015,Wire,debit,654,02:53:33,11-Jul-2016,Cancelled,None,2696546,None,USA-AZ85381,Transaction is cancelled.
2136186,184,20656,538,17015,Wire,debit,386,03:51:48,11-Jul-2016,Cancelled,None,9495097,None,USA-AZ85381,Transaction is cancelled.
1650932,184,20656,538,17015,Wire,debit,415,00:05:46,11-Jul-2016,Cancelled,None,504196,None,USA-AZ85381,Transaction is cancelled.
7286048,184,20656,538,17015,Wire,debit,775,00:11:30,11-Jul-2016,Cancelled,None,5271957,None,USA-AZ85381,Transaction is cancelled.
5309776,184,20656,538,17015,Wire,debit,603,01:06:09,11-Jul-2016,Cancelled,None,7054435,None,USA-AZ85381,Transaction is cancelled.
6022075,184,20656,538,17015,Wire,debit,760,00:24:43,11-Jul-2016,Cancelled,None,4779832,None,USA-AZ85381,Transaction is cancelled.
8974872,184,20656,538,17015,Wire,debit,922,01:04:28,11-Jul-2016,Cancelled,None,1254180,None,USA-AZ85381,Transaction is cancelled.
4496416,184,20656,538,17015,Wire,debit,870,00:30:08,11-Jul-2016,Cancelled,None,1632923,None,USA-AZ85381,Transaction is cancelled.
1351279,184,20656,538,17015,Wire,debit,308,00:40:23,11-Jul-2016,Cancelled,None,6203591,None,USA-AZ85381,Transaction is cancelled.
6279066,184,20656,538,17015,Wire,debit,293,00:13:43,11-Jul-2016,Cancelled,None,335842,None,USA-AZ85381,Transaction is cancelled.
2542461,184,20656,538,17015,Wire,debit,679,00:11:38,11-Jul-2016,Cancelled,None,4398316,None,USA-AZ85381,Transaction is cancelled.
7777310,184,20656,538,17015,Wire,debit,123,02:13:50,11-Jul-2016,Cancelled,None,5087724,None,USA-AZ85381,Transaction is cancelled.
1114659,184,20656,538,17015,Wire,debit,783,00:55:20,11-Jul-2016,Cancelled,None,269996,None,USA-AZ85381,Transaction is cancelled.
8991104,184,20656,538,17015,Wire,debit,517,02:10:39,11-Jul-2016,Cancelled,None,1799939,None,USA-AZ85381,Transaction is cancelled.
