id,whentime,sweeptypeid,fromnumber,tonumber,amount,transactionstatus
1,2013-12-30 19:59:51,1,5212345678900009,6571234567891006,3.0,0
2,2013-12-30 19:59:51,1,5212345678900092,6571234567891006,8.0,0
3,2013-12-30 19:59:51,1,5212345678900042,6571234567891006,3.0,0
4,2013-12-30 19:59:51,1,5212345678900060,6571234567891006,5.0,0
5,2013-12-30 19:59:51,1,5212345678900054,6571234567891006,8.0,0
6,2013-12-30 19:59:51,1,5212345678900040,6571234567891001,6106.2,0
7,2013-12-30 19:59:51,1,5212345678900032,6571234567891006,12.0,0
8,2013-12-30 19:59:51,1,5212345678900087,6571234567891006,14.0,0
9,2013-12-30 19:59:51,1,5212345678900011,6571234567891001,1404.6,0
10,2013-12-30 19:59:51,1,5212345678900036,6571234567891006,18.0,0
11,2013-12-30 19:59:51,1,5212345678900017,6571234567891006,5.0,0
12,2013-12-30 19:59:51,1,5212345678900059,6571234567891006,8.0,0
13,2013-12-30 19:59:51,1,5212345678900005,6571234567891006,20.0,0
14,2013-12-30 19:59:51,1,5212345678900040,6571234567891001,24730.11,0
15,2013-12-30 19:59:51,1,5212345678900073,6571234567891001,30439.78,0
16,2013-12-30 19:59:51,1,5212345678900042,6571234567891006,12.0,0
17,2013-12-30 19:59:51,1,5212345678900053,6571234567891006,16.0,0
18,2013-12-30 19:59:51,1,5212345678900034,6571234567891006,5.0,0
19,2013-12-30 19:59:51,1,5212345678900087,6571234567891006,1.0,0
20,2013-12-30 19:59:51,1,5212345678900012,6571234567891006,16.0,0
21,2013-12-31 20:29:51,1,5212345678900084,6571234567891006,20.0,0
22,2013-12-31 20:29:51,1,5212345678900064,6571234567891006,3.0,0
23,2013-12-31 20:29:51,1,5212345678900075,6571234567891006,20.0,0
24,2013-12-31 20:29:51,1,5212345678900037,6571234567891006,9.0,0
25,2013-12-31 20:29:51,1,5212345678900076,6571234567891006,5.0,0
26,2013-12-31 20:29:51,1,5212345678900008,6571234567891006,8.0,0
27,2013-12-31 20:29:51,1,5212345678900009,6571234567891006,16.0,0
28,2013-12-31 20:29:51,1,5212345678900040,6571234567891006,20.0,0
29,2013-12-31 20:29:51,1,5212345678900057,6571234567891006,6.0,0
30,2013-12-31 20:29:51,1,5212345678900042,6571234567891006,1.0,0
31,2013-12-31 20:29:51,1,5212345678900027,6571234567891006,12.0,0
32,2013-12-31 20:29:51,1,5212345678900092,6571234567891006,6.0,0
33,2013-12-31 20:29:51,1,5212345678900048,6571234567891006,10.0,0
34,2013-12-31 20:29:51,1,5212345678900071,6571234567891006,12.0,0
35,2013-12-31 20:29:51,1,5212345678900031,6571234567891006,2.0,0
36,2013-12-31 20:29:51,1,5212345678900012,6571234567891006,17.0,0
37,2013-12-31 20:29:51,1,5212345678900036,6571234567891001,12447.6,0
38,2013-12-31 20:29:51,1,5212345678900009,6571234567891006,4.0,0
39,2013-12-31 20:29:51,1,5212345678900075,6571234567891006,19.0,0
40,2014-01-01 19:39:51,1,5212345678900003,6571234567891006,5.0,0
41,2014-01-01 19:39:51,1,5212345678900031,6571234567891006,19.0,0
42,2014-01-01 19:39:51,1,5212345678900093,6571234567891006,16.0,0
